-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 in LST
Location: latitude  54.691   longitude 25.2823 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 152.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2019,3,31,3.37,4.42,0.48,6.75,0.17,0.55,6.13,3.11,4.62,6.12,4.86,81.98,0.12,99.55,5.6,8.75,3.06,5.69,270.7
2019,4,1,5.17,5.42,0.73,5.63,0.26,0.68,1.93,-2.82,-0.44,2.04,3.07,74.91,0.01,100.79,3.59,4.69,2.57,2.12,335.1
2019,4,2,5.32,5.46,0.74,5.67,0.27,0.69,2.87,-2.29,0.29,2.93,3.19,73.34,0.0,101.03,3.15,4.48,1.75,2.73,123.6
2019,4,3,5.35,5.41,0.73,5.62,0.27,0.78,3.99,-1.5,1.24,3.89,3.4,71.61,0.0,100.49,4.8,7.17,3.43,3.74,144.1
2019,4,4,5.2,5.33,0.7,5.64,0.26,0.81,4.55,-1.17,1.69,4.42,3.51,70.3,0.0,99.99,4.75,6.94,3.48,3.46,137.6
2019,4,5,5.12,5.2,0.69,5.91,0.25,0.66,5.17,-0.15,2.51,5.12,3.78,72.98,0.0,99.94,4.02,5.41,3.18,2.23,124.2
2019,4,6,5.0,5.05,0.66,6.34,0.24,0.61,6.31,0.88,3.6,6.23,4.09,72.12,0.0,100.0,4.54,6.14,3.5,2.64,118.2
2019,4,7,4.57,5.0,0.6,7.02,0.23,0.57,7.33,3.78,5.56,7.5,5.06,79.97,0.04,99.35,4.29,6.38,2.4,3.98,141.4
2019,4,8,4.69,5.11,0.61,6.85,0.23,0.64,7.87,4.88,6.38,8.28,5.46,82.83,0.16,99.12,2.25,4.33,0.62,3.71,291.0
2019,4,9,2.23,5.5,0.29,7.15,0.13,0.39,2.4,-1.05,0.67,3.14,3.55,79.99,0.08,99.39,3.16,4.46,2.22,2.24,323.2
2019,4,10,2.58,5.68,0.33,7.16,0.16,0.46,1.39,-2.05,-0.33,2.12,3.28,80.11,0.11,99.79,2.15,2.64,1.53,1.11,318.9
2019,4,11,2.8,5.55,0.35,7.27,0.17,0.48,2.12,-1.16,0.48,2.43,3.49,80.4,0.38,100.24,2.97,4.21,1.77,2.44,21.0
2019,4,12,5.26,5.86,0.65,5.67,0.26,0.75,0.84,-3.43,-1.3,1.52,2.92,76.1,0.01,100.63,3.92,4.74,2.94,1.8,37.1
2019,4,13,5.76,5.95,0.71,5.54,0.29,0.7,1.67,-2.78,-0.56,2.18,3.08,75.84,0.0,100.78,4.19,5.33,3.08,2.25,52.1
2019,4,14,5.95,6.01,0.72,5.61,0.29,0.78,2.79,-1.64,0.58,3.1,3.34,75.52,0.01,100.93,4.24,5.95,2.8,3.15,48.2
2019,4,15,4.83,6.01,0.58,6.21,0.25,0.72,1.83,-1.84,0.0,2.1,3.3,78.61,0.06,100.97,3.56,5.55,2.03,3.52,46.2
2019,4,16,5.24,5.97,0.62,6.6,0.28,0.86,6.16,2.01,4.08,6.19,4.4,77.69,0.38,100.86,4.08,6.35,2.38,3.97,50.5
2019,4,17,6.26,6.27,0.74,6.26,0.32,1.1,8.74,4.49,6.61,8.84,5.21,77.51,0.01,101.07,3.66,5.01,2.51,2.5,76.2
2019,4,18,5.85,6.22,0.68,6.49,0.3,1.17,10.09,5.22,7.66,9.29,5.49,74.83,0.0,101.29,2.68,4.66,0.6,4.06,11.0
2019,4,19,6.22,6.33,0.72,6.38,0.32,1.09,9.78,3.82,6.8,9.45,4.98,70.36,0.0,101.32,2.49,3.5,1.72,1.78,35.3
2019,4,20,5.22,6.03,0.6,7.05,0.28,0.9,9.5,4.68,7.09,9.47,5.31,75.19,0.06,100.78,3.06,3.99,1.9,2.09,341.6
2019,4,21,2.68,5.75,0.3,7.76,0.16,0.51,7.24,5.62,6.43,7.59,5.67,89.52,3.5,100.27,2.8,3.39,2.01,1.38,34.8
2019,4,22,5.94,6.16,0.67,6.7,0.3,0.99,10.04,4.92,7.48,10.06,5.39,74.65,0.07,100.85,3.65,5.01,2.21,2.8,128.0
2019,4,23,6.01,6.07,0.67,6.47,0.29,0.98,10.75,3.63,7.19,10.38,4.93,64.95,0.0,101.04,3.62,5.36,2.54,2.82,142.5
2019,4,24,6.17,6.23,0.68,6.74,0.31,1.0,11.53,5.0,8.27,11.25,5.44,67.19,0.0,100.7,4.86,7.44,3.39,4.05,148.5
2019,4,25,5.87,6.15,0.64,7.43,0.32,1.14,13.4,8.62,11.01,13.34,7.13,74.5,0.04,100.19,4.12,6.26,2.45,3.81,150.6
2019,4,26,5.8,6.05,0.63,7.79,0.32,1.12,15.61,11.68,13.64,15.56,8.66,79.65,0.1,99.7,3.39,4.91,2.42,2.49,143.2
2019,4,27,5.51,6.13,0.6,8.12,0.3,1.15,16.9,13.34,15.12,17.0,9.71,80.39,0.43,99.02,2.61,3.49,1.82,1.67,104.2
2019,4,28,5.78,5.88,0.62,7.67,0.3,1.12,15.83,11.35,13.59,15.86,8.47,76.58,0.07,99.21,4.54,6.14,2.64,3.5,67.7
2019,4,29,6.57,6.74,0.7,6.69,0.34,1.04,11.12,4.79,7.95,11.33,5.4,68.41,0.01,99.73,4.76,6.39,3.21,3.18,78.3
2019,4,30,6.88,6.91,0.73,6.34,0.35,1.07,10.47,3.92,7.19,10.76,5.09,68.47,0.0,99.6,2.88,3.94,1.76,2.18,92.6
2019,5,1,5.39,6.67,0.56,7.2,0.29,0.85,11.23,5.42,8.33,11.4,5.69,70.01,0.15,98.79,2.23,3.07,1.15,1.92,186.6
2019,5,2,2.17,6.35,0.23,7.79,0.14,0.47,8.22,5.53,6.88,8.25,5.79,83.65,2.81,97.75,5.85,8.62,2.54,6.08,254.8
2019,5,3,3.92,7.01,0.4,7.38,0.23,0.71,6.57,2.39,4.48,6.66,4.66,76.66,1.68,98.21,4.58,6.04,2.05,3.99,270.6
2019,5,4,4.12,6.39,0.42,7.17,0.22,0.67,6.68,1.51,4.1,6.17,4.33,71.13,0.24,98.8,2.66,4.65,1.11,3.54,214.3
2019,5,5,4.19,6.16,0.43,7.14,0.23,0.73,7.43,4.13,5.78,7.26,5.19,80.17,0.26,99.1,2.72,4.41,1.38,3.03,298.5
2019,5,6,5.03,7.04,0.51,7.11,0.29,0.94,6.96,1.52,4.24,7.31,4.33,72.18,1.81,99.32,3.51,5.37,2.23,3.14,14.9
2019,5,7,5.45,7.29,0.55,6.94,0.3,0.93,6.92,1.6,4.26,7.03,4.32,71.47,0.25,99.36,4.33,5.98,2.71,3.27,314.8
2019,5,8,7.47,7.59,0.74,6.05,0.38,1.1,6.83,0.36,3.6,7.33,3.93,67.18,0.0,99.8,2.03,2.94,0.92,2.02,342.3
2019,5,9,6.28,7.43,0.62,6.97,0.34,1.09,9.64,3.97,6.81,9.94,5.26,69.91,0.02,99.33,3.19,4.56,1.78,2.78,118.1
2019,5,10,4.23,6.8,0.42,7.76,0.25,0.87,11.64,8.63,10.13,11.72,7.07,83.16,1.1,99.0,2.07,2.93,1.41,1.52,164.7
2019,5,11,2.85,6.31,0.28,7.95,0.17,0.62,11.39,9.66,10.52,10.98,7.56,88.67,2.03,99.22,2.04,3.04,1.18,1.86,274.7
2019,5,12,5.36,6.98,0.52,7.84,0.3,1.15,13.63,9.47,11.55,14.09,7.4,78.17,0.22,100.24,1.13,2.2,0.02,2.18,13.0
2019,5,13,3.93,6.49,0.38,8.1,0.23,0.86,11.98,9.23,10.6,12.44,7.27,83.97,1.01,100.62,3.12,5.24,1.11,4.13,310.2
2019,5,14,2.27,6.76,0.22,8.34,0.15,0.61,9.54,6.85,8.2,10.32,6.17,83.98,0.15,100.67,3.8,4.73,3.13,1.6,355.5
2019,5,15,4.48,7.11,0.43,8.04,0.27,1.05,12.38,10.06,11.22,12.56,7.76,86.44,1.7,100.35,4.64,6.08,3.61,2.47,52.8
2019,5,16,2.41,6.49,0.23,8.51,0.16,0.6,13.11,11.52,12.32,13.01,8.49,90.17,4.38,100.21,5.3,6.33,4.17,2.16,77.9
2019,5,17,2.91,6.66,0.28,8.69,0.19,0.81,15.24,13.17,14.2,15.19,9.6,87.82,8.41,99.9,5.68,6.86,4.58,2.28,96.3
2019,5,18,5.97,7.29,0.56,8.33,0.35,1.45,18.02,14.59,16.31,18.02,10.45,81.49,0.45,99.76,4.45,6.01,3.45,2.56,112.0
2019,5,19,7.27,7.64,0.68,7.95,0.4,1.68,18.1,12.29,15.19,18.1,8.98,71.37,0.02,99.57,4.41,6.23,3.07,3.16,119.6
2019,5,20,5.59,7.28,0.52,8.77,0.33,1.29,17.78,14.08,15.93,17.53,10.16,79.37,1.76,99.45,4.75,6.79,3.53,3.26,124.7
2019,5,21,6.4,7.13,0.59,8.48,0.36,1.37,18.74,14.98,16.86,18.71,10.78,80.03,1.53,99.16,4.68,6.47,3.13,3.34,123.1
2019,5,22,6.97,7.53,0.65,7.95,0.39,1.4,17.69,12.91,15.3,17.86,9.41,75.68,0.12,99.01,2.47,3.01,1.48,1.53,144.2
2019,5,23,6.07,7.52,0.56,8.35,0.35,1.34,18.27,13.69,15.98,18.41,9.97,76.99,1.14,99.08,2.48,3.37,1.63,1.74,293.4
2019,5,24,4.2,7.32,0.39,8.89,0.26,1.08,16.87,13.49,15.18,17.37,9.76,81.98,0.71,99.21,2.4,3.28,1.7,1.58,320.2
2019,5,25,5.52,7.31,0.5,7.99,0.31,1.25,14.98,9.82,12.4,15.29,7.68,73.57,0.11,99.08,3.49,5.63,1.58,4.05,288.7
2019,5,26,3.62,7.82,0.33,8.33,0.23,0.96,11.87,7.65,9.76,12.14,6.6,76.57,0.06,99.14,4.11,5.96,2.18,3.78,258.7
2019,5,27,4.2,6.95,0.38,8.73,0.24,1.06,16.07,12.57,14.32,15.91,9.26,80.96,0.94,99.0,4.12,6.45,1.83,4.62,233.8
2019,5,28,2.97,6.95,0.27,8.91,0.19,0.78,17.21,15.55,16.38,17.16,11.23,90.15,10.75,98.89,3.74,5.85,1.67,4.18,172.2
2019,5,29,1.94,7.18,0.17,8.69,0.14,0.57,15.01,13.13,14.07,14.99,9.66,88.87,11.94,99.26,3.62,4.8,2.46,2.34,298.2
2019,5,30,8.23,8.26,0.74,6.72,0.44,1.68,12.78,5.02,8.9,12.84,5.46,62.47,0.0,100.4,2.54,3.88,1.44,2.44,354.2
2019,5,31,7.45,8.12,0.67,7.56,0.42,1.58,15.51,8.53,12.02,15.04,7.18,64.99,0.39,100.22,2.32,3.7,0.64,3.06,265.0
2019,6,1,6.85,7.85,0.61,8.08,0.38,1.41,16.56,12.53,14.55,17.02,9.08,78.76,0.18,100.15,2.13,2.72,1.47,1.25,294.1
2019,6,2,7.18,7.8,0.64,7.87,0.39,1.5,16.63,11.91,14.27,16.76,8.75,75.79,0.14,99.93,3.8,5.92,1.87,4.05,278.2
2019,6,3,8.1,8.15,0.72,7.46,0.45,1.73,16.88,11.86,14.37,17.44,8.7,74.54,0.03,100.2,1.97,2.82,1.31,1.51,88.7
2019,6,4,8.12,8.14,0.72,7.86,0.45,1.8,18.98,13.33,16.16,19.11,9.61,72.27,0.0,100.08,2.89,3.56,2.18,1.38,136.7
2019,6,5,7.14,7.84,0.63,8.66,0.41,1.68,21.32,16.39,18.85,21.39,11.81,75.56,1.03,99.93,2.76,4.01,1.64,2.37,140.9
2019,6,6,6.33,7.63,0.56,8.99,0.37,1.58,21.58,17.88,19.73,21.68,12.84,81.08,1.51,99.97,3.35,5.5,2.04,3.46,128.9
2019,6,7,5.91,7.68,0.52,8.96,0.34,1.44,21.13,18.06,19.6,21.19,13.0,83.94,2.79,99.96,3.27,4.5,2.4,2.1,141.4
2019,6,8,7.03,7.53,0.62,8.88,0.39,1.63,21.36,17.54,19.45,21.49,12.56,80.39,0.94,100.08,3.28,4.48,2.01,2.47,165.3
2019,6,9,7.9,8.13,0.69,8.11,0.44,1.8,18.12,12.71,15.41,18.26,9.23,73.73,0.54,100.6,3.48,4.82,2.02,2.8,321.1
2019,6,10,7.66,8.14,0.67,7.78,0.42,1.77,18.97,12.81,15.89,19.05,9.27,70.09,0.0,100.5,2.59,2.99,2.08,0.91,90.6
2019,6,11,6.89,7.76,0.6,8.99,0.39,1.7,23.27,18.24,20.76,23.22,13.2,75.3,0.05,100.01,3.2,4.3,2.39,1.91,154.2
2019,6,12,7.33,7.77,0.64,9.05,0.41,1.8,24.81,18.52,21.66,24.78,13.41,70.74,0.06,99.83,2.45,3.11,1.71,1.4,186.2
2019,6,13,6.98,7.73,0.61,9.24,0.4,1.73,24.43,19.58,22.01,24.2,14.33,75.73,0.8,99.87,3.02,4.28,2.09,2.19,165.4
2019,6,14,6.63,7.52,0.58,9.07,0.38,1.77,22.75,18.7,20.72,22.9,13.51,79.44,0.7,100.0,2.73,4.16,1.6,2.56,267.5
2019,6,15,7.62,7.85,0.66,8.45,0.43,1.99,20.52,14.59,17.55,20.97,10.43,71.15,0.03,100.02,2.23,2.58,1.81,0.77,48.9
2019,6,16,3.16,7.22,0.28,9.11,0.2,0.94,20.07,16.56,18.32,20.04,11.97,80.73,6.05,99.65,2.9,4.73,0.25,4.48,139.1
2019,6,17,2.41,7.56,0.21,9.08,0.16,0.77,19.2,16.05,17.62,19.71,11.45,83.2,1.85,99.85,3.55,4.48,2.23,2.25,288.8
2019,6,18,8.45,8.5,0.73,7.76,0.47,1.98,19.21,12.93,16.07,19.44,9.32,69.92,0.07,100.2,2.21,2.63,1.54,1.09,328.5
2019,6,19,7.99,8.24,0.69,8.09,0.44,1.9,21.14,13.83,17.49,21.17,9.94,65.34,0.0,99.89,2.34,3.25,1.8,1.45,138.1
2019,6,20,4.9,7.38,0.43,9.37,0.29,1.5,20.97,17.99,19.48,20.95,13.1,83.59,5.39,99.47,2.97,5.25,1.68,3.57,161.2
2019,6,21,4.46,7.32,0.39,9.49,0.27,1.36,21.7,18.26,19.98,21.81,13.22,82.4,4.17,99.55,1.74,2.51,1.03,1.48,239.2
2019,6,22,7.73,7.93,0.67,8.1,0.43,1.97,18.9,13.06,15.98,19.21,9.5,71.89,0.5,100.12,3.83,5.23,1.99,3.24,320.9
2019,6,23,8.32,8.42,0.72,7.57,0.46,1.94,18.31,11.35,14.83,18.73,8.37,67.16,0.01,100.45,2.78,3.77,2.01,1.76,37.1
2019,6,24,8.33,8.54,0.72,7.6,0.46,1.91,18.96,11.58,15.27,19.32,8.49,65.63,0.0,100.81,2.34,3.04,1.47,1.57,26.2
2019,6,25,7.7,8.26,0.67,7.97,0.42,1.76,21.21,13.58,17.39,21.53,9.68,64.89,0.0,100.97,1.88,3.01,1.15,1.86,149.5
2019,6,26,5.92,7.38,0.52,9.27,0.34,1.46,23.19,18.39,20.79,23.08,13.49,75.06,2.5,100.15,3.17,4.2,1.66,2.54,227.8
2019,6,27,3.96,7.47,0.34,9.05,0.24,1.05,19.9,14.83,17.37,20.02,10.93,73.54,3.56,99.08,6.27,8.71,2.61,6.1,305.3
2019,6,28,6.74,8.27,0.59,7.85,0.38,1.47,15.54,7.65,11.59,15.99,6.58,61.88,0.02,99.56,6.01,7.56,3.07,4.49,324.2
2019,6,29,5.19,7.83,0.45,8.25,0.31,1.27,15.6,9.12,12.35,16.11,7.32,67.55,0.01,99.68,4.27,6.36,2.52,3.84,307.6
2019,6,30,7.7,7.96,0.67,8.41,0.44,1.8,20.91,14.72,17.82,21.24,10.58,70.69,0.03,99.33,3.22,5.19,2.1,3.09,272.0
2019,7,1,5.72,7.58,0.5,8.59,0.33,1.48,20.39,13.2,16.79,20.48,9.62,65.61,2.49,99.0,4.9,7.39,2.46,4.93,265.8
2019,7,2,5.1,7.87,0.45,8.56,0.3,1.25,17.24,10.95,14.09,17.62,8.26,67.68,1.55,99.17,5.33,7.11,2.44,4.67,271.7
2019,7,3,5.63,8.13,0.49,7.97,0.33,1.35,13.81,7.99,10.9,14.13,6.74,69.01,1.46,99.45,5.6,7.21,2.77,4.44,277.2
2019,7,4,5.3,7.96,0.47,7.86,0.31,1.21,13.41,6.96,10.18,13.98,6.26,66.91,0.88,99.64,4.82,7.08,2.52,4.56,265.3
2019,7,5,4.49,7.72,0.4,8.05,0.27,1.08,13.27,8.14,10.71,13.32,6.92,73.29,5.39,98.8,6.15,8.12,4.19,3.93,251.0
2019,7,6,5.77,8.12,0.51,8.19,0.34,1.27,14.83,7.57,11.2,15.25,6.6,63.54,0.32,98.66,5.32,7.76,1.74,6.02,271.3
2019,7,7,4.79,7.64,0.42,8.6,0.28,1.17,15.37,10.25,12.81,15.85,7.98,73.66,2.7,98.34,4.27,6.55,1.86,4.69,259.0
2019,7,8,4.69,7.65,0.42,8.42,0.28,1.09,14.12,10.01,12.06,14.6,7.78,77.51,3.21,98.56,4.94,6.19,3.44,2.75,274.8
2019,7,9,4.91,7.71,0.44,8.56,0.3,1.18,14.42,11.01,12.71,14.66,8.32,81.39,4.5,98.64,3.24,4.99,1.82,3.17,293.3
2019,7,10,4.41,7.63,0.39,8.46,0.27,0.99,14.16,11.53,12.84,14.34,8.61,85.35,7.08,98.7,3.47,4.52,2.26,2.26,319.6
2019,7,11,3.86,7.25,0.35,8.69,0.23,0.83,14.92,11.51,13.22,15.29,8.58,81.4,2.21,98.93,2.95,3.91,1.85,2.06,319.8
2019,7,12,5.82,7.39,0.52,8.38,0.33,1.22,15.25,10.7,12.98,15.78,8.13,76.17,0.94,99.02,1.9,2.48,1.4,1.08,342.5
2019,7,13,4.49,7.33,0.4,8.49,0.26,0.94,15.46,10.62,13.04,15.59,8.08,74.13,2.14,99.16,1.05,1.93,0.4,1.53,65.5
2019,7,14,5.02,7.36,0.45,8.44,0.29,1.04,15.92,10.76,13.34,16.06,8.14,73.08,2.25,99.24,1.63,2.45,0.43,2.02,20.6
2019,7,15,6.34,7.4,0.58,8.2,0.34,1.24,16.87,10.06,13.46,17.4,7.78,67.94,0.14,99.32,2.45,3.24,1.35,1.89,347.3
2019,7,16,3.09,7.02,0.28,8.46,0.19,0.72,16.1,12.01,14.05,15.95,8.89,78.05,9.15,98.98,2.16,3.24,0.93,2.31,245.7
2019,7,17,4.48,7.23,0.41,8.25,0.26,0.95,14.12,11.1,12.61,14.23,8.37,83.4,4.16,98.83,3.81,4.77,2.04,2.73,306.7
2019,7,18,4.06,7.01,0.37,8.57,0.24,0.87,16.3,12.06,14.18,16.68,8.88,77.74,0.97,99.12,3.73,5.54,2.35,3.19,318.1
2019,7,19,6.94,7.58,0.64,8.03,0.39,1.42,17.78,11.62,14.7,18.12,8.6,70.07,0.02,99.51,3.3,4.72,1.97,2.75,297.5
2019,7,20,6.8,7.39,0.63,8.3,0.37,1.38,20.48,12.03,16.25,20.38,8.82,61.28,0.01,99.76,1.54,2.22,0.98,1.24,289.6
2019,7,21,6.25,7.03,0.58,8.78,0.34,1.27,21.87,14.26,18.07,22.0,10.3,64.06,2.11,99.83,1.91,2.82,1.2,1.62,187.2
2019,7,22,4.13,6.81,0.39,8.94,0.25,1.04,18.8,15.24,17.02,19.09,10.89,81.01,11.44,99.79,4.17,5.8,2.28,3.52,292.7
2019,7,23,4.67,7.17,0.44,8.95,0.28,1.06,18.14,13.34,15.74,18.7,9.63,75.49,0.61,99.77,3.87,5.06,2.19,2.87,315.0
2019,7,24,6.09,7.21,0.57,8.87,0.35,1.44,20.35,14.61,17.48,20.83,10.44,73.12,0.85,99.84,2.91,3.57,2.18,1.39,352.7
2019,7,25,6.25,7.16,0.59,8.7,0.36,1.56,20.04,14.74,17.39,20.47,10.52,74.49,1.32,99.86,3.25,5.27,1.95,3.32,339.4
2019,7,26,4.0,6.68,0.38,9.0,0.24,1.01,19.0,14.85,16.93,19.38,10.61,78.56,2.51,99.69,4.36,5.96,2.52,3.44,60.7
2019,7,27,2.67,6.47,0.26,9.09,0.17,0.73,18.95,16.44,17.7,19.18,11.77,86.24,3.67,99.62,3.59,4.66,2.26,2.4,79.6
2019,7,28,6.18,6.64,0.59,9.07,0.34,1.41,22.13,17.1,19.62,22.48,12.31,75.36,0.12,99.32,2.7,3.35,1.82,1.53,104.3
2019,7,29,5.92,6.86,0.57,9.08,0.33,1.55,24.1,17.08,20.59,24.48,12.34,67.7,0.71,98.96,2.21,2.91,1.7,1.21,61.6
2019,7,30,5.05,6.78,0.49,8.93,0.3,1.44,19.4,13.04,16.22,20.11,9.54,68.35,0.53,98.92,2.84,4.28,0.51,3.77,57.5
2019,7,31,4.69,7.06,0.46,8.32,0.27,1.13,15.35,8.63,11.99,16.22,7.08,67.17,0.07,99.47,3.44,4.92,1.69,3.23,349.4
2019,8,1,2.54,6.32,0.25,8.9,0.16,0.71,14.77,10.43,12.6,15.44,7.93,76.61,0.76,99.63,1.6,2.19,0.68,1.51,341.3
2019,8,2,4.23,6.53,0.42,8.55,0.25,1.0,15.6,11.09,13.34,15.91,8.34,76.43,2.31,99.29,1.8,3.45,0.26,3.19,314.2
2019,8,3,5.07,6.65,0.51,8.19,0.28,1.1,16.03,9.61,12.82,16.68,7.54,68.32,0.52,99.17,3.01,5.05,1.61,3.44,343.1
2019,8,4,5.26,6.61,0.53,8.0,0.29,1.09,14.67,7.38,11.03,15.4,6.48,65.26,0.09,99.22,2.73,4.14,1.35,2.79,346.1
2019,8,5,6.78,7.09,0.68,7.2,0.36,1.23,15.11,7.09,11.1,15.47,6.38,63.03,0.19,99.27,3.05,4.76,1.54,3.22,317.3
2019,8,6,4.81,6.44,0.49,8.26,0.27,0.96,17.6,10.87,14.24,17.78,8.29,67.21,0.81,99.22,2.46,3.72,1.48,2.24,249.6
2019,8,7,3.81,6.0,0.39,8.85,0.22,0.85,19.61,15.32,17.47,19.64,11.02,77.4,2.49,98.97,1.96,2.63,0.92,1.71,236.1
2019,8,8,2.47,5.99,0.25,8.78,0.16,0.62,17.34,15.23,16.28,17.22,11.01,87.85,13.54,98.6,4.56,8.91,2.09,6.82,262.3
2019,8,9,4.74,6.15,0.49,8.26,0.27,0.98,16.9,13.02,14.96,17.19,9.45,79.39,2.29,99.17,3.53,5.47,2.2,3.27,272.1
2019,8,10,3.97,6.43,0.42,8.57,0.24,0.91,17.49,12.07,14.78,17.87,8.85,72.53,0.33,99.64,1.83,3.13,0.5,2.63,224.1
2019,8,11,5.1,6.13,0.54,8.76,0.28,1.15,19.91,14.25,17.08,19.88,10.21,71.86,3.11,99.64,2.93,4.75,0.49,4.26,283.8
2019,8,12,4.02,6.1,0.43,9.09,0.24,1.03,21.17,14.5,17.83,21.02,10.44,67.19,0.77,99.72,2.98,4.4,1.25,3.15,167.7
2019,8,13,3.19,5.62,0.34,8.91,0.19,0.88,18.78,15.99,17.38,18.57,11.54,84.54,13.17,99.3,2.79,6.24,0.89,5.35,310.9
2019,8,14,1.8,5.56,0.19,8.36,0.12,0.48,14.78,12.81,13.79,14.75,9.29,88.11,7.54,99.58,2.04,3.08,1.1,1.98,304.0
2019,8,15,5.37,6.27,0.58,7.73,0.29,1.11,15.28,10.03,12.66,15.23,7.72,73.41,0.41,99.75,2.18,3.24,1.18,2.06,294.8
2019,8,16,5.59,6.31,0.61,7.82,0.31,1.18,17.54,9.67,13.6,17.35,7.56,62.65,0.0,99.8,1.22,2.45,0.22,2.23,141.7
2019,8,17,6.09,6.19,0.67,7.8,0.33,1.22,18.61,10.77,14.69,19.15,8.11,63.26,0.01,99.75,1.79,2.86,0.9,1.96,149.6
2019,8,18,5.32,5.84,0.59,8.41,0.29,1.09,19.75,11.98,15.87,20.12,8.85,63.21,0.01,99.46,2.58,3.52,1.97,1.55,174.3
2019,8,19,4.68,5.62,0.53,9.4,0.27,1.15,22.29,16.0,19.15,22.53,11.49,69.46,1.43,99.58,3.62,4.54,2.38,2.16,224.3
2019,8,20,4.47,5.64,0.51,8.87,0.25,1.08,20.03,14.79,17.41,20.31,10.52,74.2,1.6,100.34,1.51,2.26,0.33,1.93,328.3
2019,8,21,1.17,5.32,0.13,8.81,0.08,0.39,16.7,14.67,15.69,16.69,10.49,88.18,16.82,100.33,3.24,5.88,1.01,4.87,328.3
2019,8,22,5.02,5.97,0.58,7.93,0.28,1.1,16.51,11.01,13.76,16.5,8.14,71.98,0.06,101.02,2.12,2.76,0.34,2.42,313.8
2019,8,23,5.0,5.97,0.58,7.93,0.27,1.07,18.0,10.46,14.23,17.66,7.84,63.78,0.0,101.07,1.54,2.44,0.4,2.04,212.0
2019,8,24,5.79,5.85,0.68,7.92,0.31,1.19,18.62,11.03,14.82,18.59,8.2,64.15,0.0,100.88,2.43,2.91,1.7,1.21,277.1
2019,8,25,5.1,5.67,0.6,8.48,0.28,1.05,19.92,13.92,16.92,20.26,9.86,71.32,0.0,100.92,2.17,2.62,1.71,0.91,102.2
2019,8,26,5.28,5.65,0.63,8.44,0.29,1.09,21.18,13.75,17.46,21.07,9.77,65.97,0.0,100.86,1.63,2.46,0.53,1.93,156.3
2019,8,27,5.36,5.59,0.65,8.37,0.29,1.14,22.11,13.56,17.84,21.85,9.67,60.4,0.0,100.74,1.5,2.43,0.66,1.77,115.3
2019,8,28,5.08,5.53,0.62,8.26,0.27,1.09,20.99,14.43,17.71,21.31,10.22,68.74,0.0,100.61,3.29,4.44,2.28,2.16,125.4
2019,8,29,3.14,4.94,0.39,9.04,0.18,0.74,21.23,14.39,17.81,21.22,10.31,66.87,2.23,100.15,4.03,5.56,2.17,3.39,161.5
2019,8,30,3.97,5.08,0.49,8.94,0.22,0.92,20.98,16.18,18.58,21.31,11.5,76.77,1.04,100.22,2.86,4.69,1.85,2.84,304.8
2019,8,31,4.11,5.34,0.52,8.49,0.23,0.93,19.78,14.51,17.14,20.38,10.31,74.8,0.4,100.35,1.38,2.46,0.47,1.99,25.1
