-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 in LST
Location: latitude  56.9474   longitude 24.1069 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2018,1,25,0.18,0.88,0.1,6.77,0.01,0.01,1.25,0.92,1.09,0.75,4.05,97.56,2.58,100.44,9.46,11.04,6.97,4.07,205.6
2018,1,26,0.28,0.9,0.15,6.76,0.02,0.02,0.38,0.02,0.2,0.27,3.77,97.41,2.37,101.23,4.03,6.71,2.2,4.51,197.7
2018,1,27,0.35,1.09,0.19,7.16,0.03,0.02,0.67,0.3,0.49,0.33,3.83,97.32,1.06,101.72,4.82,7.08,2.57,4.51,235.3
2018,1,28,0.17,1.0,0.09,7.08,0.01,0.02,0.41,0.04,0.22,0.26,3.8,97.42,7.33,100.62,6.64,8.68,4.67,4.01,192.7
2018,1,29,0.51,1.16,0.25,7.31,0.03,0.03,1.05,0.82,0.94,0.61,4.06,98.28,3.3,99.63,4.3,6.2,2.56,3.64,256.6
2018,1,30,0.4,1.25,0.2,7.12,0.03,0.03,-0.48,-1.33,-0.9,-0.55,3.48,94.3,5.41,99.38,6.52,8.94,1.82,7.12,329.5
2018,1,31,0.56,1.31,0.27,6.91,0.04,0.04,-1.48,-2.47,-1.97,-1.88,3.17,94.1,0.64,100.5,4.72,7.84,2.06,5.78,209.4
2018,2,1,0.4,1.13,0.19,6.57,0.03,0.04,0.05,-0.46,-0.21,-0.12,3.71,96.45,5.56,99.36,6.56,9.62,3.81,5.81,173.0
2018,2,2,0.52,1.32,0.23,6.96,0.04,0.04,-1.62,-2.13,-1.87,-1.7,3.26,97.76,0.28,99.93,3.16,3.74,2.22,1.52,200.2
2018,2,3,0.37,1.34,0.16,7.05,0.03,0.04,-3.63,-4.51,-4.07,-3.58,2.72,96.3,0.18,100.3,3.1,3.65,2.06,1.59,137.0
2018,2,4,0.54,1.55,0.23,6.02,0.04,0.05,-7.5,-8.86,-8.18,-7.23,1.89,93.55,0.09,101.27,5.45,6.8,3.12,3.68,36.1
2018,2,5,0.95,1.6,0.4,5.93,0.06,0.06,-6.38,-8.24,-7.31,-5.9,1.96,89.47,0.42,101.72,6.47,7.53,3.53,4.0,9.1
2018,2,6,0.82,1.62,0.33,6.03,0.06,0.06,-6.56,-7.94,-7.25,-6.11,2.04,93.2,2.35,100.76,3.34,6.49,1.56,4.93,227.1
2018,2,7,0.86,1.62,0.34,6.32,0.06,0.05,-4.09,-5.13,-4.61,-3.85,2.55,95.18,0.89,101.22,6.47,7.1,5.49,1.61,219.8
2018,2,8,0.59,1.62,0.23,6.02,0.04,0.04,-10.29,-10.86,-10.57,-9.53,1.59,98.91,0.2,101.65,2.89,5.22,0.61,4.61,151.2
2018,2,9,0.75,1.75,0.29,6.42,0.05,0.04,-10.68,-11.57,-11.12,-10.83,1.48,97.28,0.1,101.7,1.97,3.47,0.47,3.0,76.3
2018,2,10,0.52,1.57,0.2,6.47,0.04,0.03,-8.79,-9.61,-9.2,-8.05,1.78,97.04,0.62,101.42,2.83,3.7,1.99,1.71,74.6
2018,2,11,0.46,1.68,0.17,6.49,0.04,0.03,-6.51,-7.69,-7.1,-5.96,2.07,94.83,0.51,100.67,2.97,5.04,1.43,3.61,172.9
2018,2,12,0.68,1.66,0.24,6.8,0.05,0.05,-3.73,-4.73,-4.23,-3.47,2.66,95.12,0.61,100.44,6.77,7.54,5.21,2.33,159.5
2018,2,13,1.09,1.79,0.38,6.45,0.06,0.07,-2.87,-3.62,-3.24,-3.02,2.88,96.91,0.13,101.13,4.36,5.63,2.48,3.15,176.1
2018,2,14,1.17,1.67,0.4,5.97,0.07,0.09,-4.5,-5.4,-4.95,-4.44,2.5,96.79,0.36,101.85,2.42,3.21,1.76,1.45,124.2
2018,2,15,1.39,1.93,0.46,5.6,0.09,0.12,-8.86,-9.79,-9.32,-8.19,1.73,97.08,0.23,102.18,3.76,4.64,2.91,1.73,147.0
2018,2,16,0.75,1.97,0.24,6.25,0.07,0.08,-6.98,-7.79,-7.39,-6.33,2.06,97.87,1.02,101.62,4.17,5.26,2.34,2.92,155.5
2018,2,17,0.81,1.87,0.26,6.64,0.06,0.06,-5.51,-6.31,-5.91,-5.33,2.32,97.76,1.15,101.32,2.35,3.57,1.07,2.5,27.0
2018,2,18,1.12,2.19,0.35,6.54,0.07,0.08,-4.99,-6.42,-5.71,-5.45,2.29,92.98,0.88,101.69,3.2,4.88,0.1,4.78,351.2
2018,2,19,0.78,2.22,0.24,6.69,0.06,0.07,-7.52,-8.95,-8.24,-8.18,1.86,93.43,0.24,101.85,2.06,2.95,0.62,2.33,60.8
2018,2,20,1.44,2.3,0.43,6.04,0.09,0.12,-8.44,-9.82,-9.13,-8.81,1.71,93.55,0.46,102.05,2.32,2.89,1.18,1.71,45.5
2018,2,21,2.24,2.45,0.65,5.07,0.12,0.15,-11.87,-12.97,-12.42,-11.62,1.3,95.34,0.11,102.19,3.15,4.1,2.3,1.8,90.0
2018,2,22,2.45,2.64,0.69,4.99,0.14,0.19,-13.2,-14.47,-13.83,-13.81,1.13,93.79,0.08,102.57,2.06,3.32,0.84,2.48,129.1
2018,2,23,2.37,2.68,0.66,5.01,0.14,0.18,-12.71,-13.52,-13.12,-12.08,1.25,97.53,2.52,102.22,4.58,6.25,3.07,3.18,158.0
2018,2,24,2.53,2.73,0.68,4.91,0.14,0.17,-12.62,-13.56,-13.09,-11.49,1.22,96.74,0.21,102.73,4.59,5.63,3.82,1.81,51.0
2018,2,25,2.42,2.8,0.64,5.1,0.14,0.16,-14.47,-15.18,-14.83,-13.17,1.06,97.48,0.25,102.8,4.08,5.44,2.9,2.54,39.2
2018,2,26,2.39,2.88,0.62,5.27,0.14,0.17,-12.67,-14.03,-13.35,-11.82,1.17,93.18,0.49,102.43,3.55,4.49,2.34,2.15,59.3
2018,2,27,2.73,2.92,0.7,4.67,0.15,0.17,-17.09,-17.67,-17.38,-15.32,0.84,98.09,0.17,102.94,6.98,8.47,3.97,4.5,80.1
2018,2,28,2.56,3.01,0.64,4.62,0.15,0.18,-16.96,-17.35,-17.15,-14.95,0.85,98.19,0.03,103.35,7.13,7.76,6.28,1.48,67.4
2018,3,1,2.22,2.94,0.54,5.16,0.14,0.15,-13.68,-14.48,-14.08,-12.17,1.16,95.72,0.21,102.4,6.79,7.99,5.53,2.46,73.5
2018,3,2,2.04,2.88,0.49,5.52,0.13,0.16,-8.88,-10.29,-9.59,-8.2,1.66,93.22,0.1,101.15,4.63,6.38,3.41,2.97,96.7
2018,3,3,2.87,3.05,0.67,5.21,0.16,0.18,-10.62,-11.75,-11.18,-10.45,1.48,95.16,0.03,100.46,4.06,5.38,2.97,2.41,70.1
2018,3,4,2.92,3.06,0.67,5.1,0.16,0.2,-9.62,-10.77,-10.19,-9.73,1.64,95.89,0.01,100.18,4.35,5.41,2.51,2.9,17.1
2018,3,5,2.97,3.21,0.67,5.28,0.17,0.24,-8.5,-9.61,-9.06,-9.74,1.79,95.64,0.06,100.47,2.93,5.78,1.0,4.78,118.7
2018,3,6,2.8,3.07,0.62,5.87,0.16,0.26,-5.05,-6.07,-5.56,-4.95,2.42,95.47,0.08,99.94,4.5,6.06,2.83,3.23,133.9
2018,3,7,1.94,3.17,0.42,6.02,0.13,0.25,-4.17,-5.07,-4.62,-4.17,2.62,95.93,0.14,99.76,4.99,5.99,3.39,2.6,104.7
2018,3,8,1.44,3.14,0.31,6.58,0.12,0.23,-2.44,-3.23,-2.84,-2.48,3.0,95.97,4.42,99.78,5.46,6.23,4.51,1.72,135.6
2018,3,9,1.16,2.98,0.24,7.32,0.1,0.19,-1.19,-1.63,-1.41,-1.52,3.39,97.77,0.36,100.02,4.55,5.67,3.22,2.45,157.1
2018,3,10,0.77,3.16,0.16,7.28,0.06,0.11,-1.06,-1.68,-1.37,-1.71,3.36,96.58,0.35,100.38,2.5,3.31,1.77,1.54,173.3
2018,3,11,1.62,3.22,0.33,7.01,0.11,0.19,-0.72,-1.56,-1.14,-1.18,3.39,94.99,0.26,100.58,4.71,5.71,3.2,2.51,144.6
2018,3,12,2.41,2.89,0.48,6.87,0.14,0.3,1.24,0.74,0.99,0.79,4.04,96.43,2.72,99.73,6.15,7.92,4.69,3.23,134.9
2018,3,13,0.55,3.07,0.11,7.6,0.05,0.1,2.5,2.2,2.35,1.66,4.52,97.77,2.53,98.84,7.09,7.82,6.24,1.58,174.7
2018,3,14,0.74,3.37,0.14,7.23,0.07,0.13,-0.31,-1.97,-1.14,-0.29,3.32,88.84,2.14,99.9,6.37,8.4,4.48,3.92,322.1
2018,3,15,3.29,3.96,0.62,6.17,0.18,0.33,-3.39,-7.39,-5.39,-2.56,2.11,74.54,0.13,101.09,5.89,6.94,4.91,2.03,12.5
2018,3,16,3.16,4.1,0.59,5.01,0.18,0.3,-6.6,-10.56,-8.58,-5.62,1.6,74.99,0.12,101.64,6.09,7.3,4.78,2.52,45.8
2018,3,17,3.49,4.16,0.64,5.08,0.19,0.32,-7.7,-10.9,-9.3,-7.21,1.55,80.15,0.04,102.05,4.62,6.48,2.39,4.09,38.6
2018,3,18,4.03,4.18,0.72,5.29,0.21,0.36,-4.07,-7.18,-5.63,-4.67,2.18,81.35,0.0,101.69,5.26,6.97,2.03,4.94,278.3
2018,3,19,3.43,4.19,0.61,5.93,0.2,0.38,-1.43,-4.3,-2.87,-1.62,2.74,83.42,0.02,100.57,7.84,9.66,6.06,3.6,248.5
2018,3,20,2.33,3.92,0.4,6.64,0.15,0.29,-1.35,-3.45,-2.4,-1.17,2.93,86.93,1.14,100.36,5.15,7.42,2.67,4.75,280.6
2018,3,21,4.43,4.51,0.76,5.73,0.25,0.47,-3.19,-6.84,-5.01,-2.4,2.23,77.87,0.04,101.08,4.83,6.39,3.1,3.29,323.3
2018,3,22,1.08,3.99,0.18,7.02,0.09,0.2,-0.49,-1.76,-1.13,-0.61,3.35,92.21,1.05,100.21,6.74,8.13,5.73,2.4,238.0
2018,3,23,4.31,4.47,0.71,5.78,0.23,0.46,-0.71,-3.33,-2.02,-0.52,2.98,83.97,0.33,100.08,4.82,7.22,1.99,5.23,317.8
2018,3,24,4.38,4.48,0.72,5.37,0.23,0.49,-0.96,-3.87,-2.42,-1.07,2.85,82.52,0.02,100.28,3.53,5.46,1.31,4.15,215.8
2018,3,25,2.29,3.76,0.37,7.15,0.14,0.32,1.68,0.17,0.93,1.14,3.86,89.99,0.41,100.05,6.07,7.7,4.61,3.09,239.9
2018,3,26,2.65,4.02,0.42,7.06,0.16,0.35,0.09,-1.54,-0.72,0.22,3.44,89.18,0.37,100.25,5.35,7.16,4.05,3.11,329.8
2018,3,27,4.61,4.92,0.72,5.3,0.24,0.51,-3.14,-7.67,-5.41,-2.39,2.07,73.27,0.0,101.09,3.91,4.9,2.71,2.19,6.4
2018,3,28,4.46,4.92,0.69,5.12,0.23,0.44,-3.36,-8.08,-5.72,-2.58,1.99,71.7,0.03,101.17,2.29,3.19,1.7,1.49,17.9
2018,3,29,4.56,4.85,0.69,5.25,0.23,0.47,-2.45,-6.48,-4.47,-2.27,2.3,76.54,0.0,101.05,5.02,6.2,3.28,2.92,114.2
2018,3,30,1.23,4.3,0.18,7.02,0.1,0.22,-1.2,-2.84,-2.02,-0.94,3.09,89.62,3.92,100.41,4.51,6.47,0.98,5.49,106.2
2018,3,31,1.84,4.63,0.27,7.1,0.14,0.31,-0.13,-1.4,-0.76,0.03,3.43,92.25,1.02,100.4,1.67,4.29,0.38,3.91,53.3
2018,4,1,0.93,4.5,0.14,6.82,0.08,0.18,0.05,-0.92,-0.44,-0.13,3.58,93.48,9.34,99.62,7.61,9.94,4.43,5.51,82.3
2018,4,2,1.01,4.8,0.15,7.18,0.08,0.21,0.36,-0.36,0.0,0.21,3.76,94.8,9.31,98.61,6.79,9.57,3.48,6.09,310.8
2018,4,3,4.4,4.91,0.62,6.07,0.24,0.52,0.28,-1.47,-0.6,0.16,3.42,89.21,1.58,100.33,4.76,7.58,2.5,5.08,231.1
2018,4,4,2.54,4.64,0.36,7.57,0.16,0.41,3.84,3.63,3.73,2.91,5.01,97.64,1.35,100.35,4.43,6.11,2.33,3.78,160.7
2018,4,5,2.62,4.43,0.36,7.62,0.16,0.41,7.86,7.39,7.62,6.53,6.51,95.55,2.28,99.92,4.62,7.04,2.75,4.29,183.5
2018,4,6,2.78,5.24,0.38,7.31,0.18,0.51,3.35,1.26,2.31,3.06,4.17,86.8,2.18,100.38,9.36,12.12,4.21,7.91,250.9
2018,4,7,5.0,5.31,0.67,6.12,0.27,0.71,3.56,-0.72,1.42,3.43,3.55,76.03,0.0,101.98,4.55,9.63,1.92,7.71,266.7
2018,4,8,5.07,5.25,0.68,6.61,0.27,0.8,7.82,5.33,6.58,6.79,5.71,84.86,0.01,101.34,5.74,6.89,3.88,3.01,193.2
2018,4,9,4.94,5.05,0.65,7.25,0.26,0.77,10.99,9.59,10.29,9.26,7.54,90.62,0.7,100.48,4.55,6.3,1.66,4.64,182.0
2018,4,10,2.17,4.92,0.28,7.41,0.15,0.45,4.78,3.11,3.95,4.11,4.85,88.16,0.78,100.96,5.87,7.77,1.45,6.32,32.9
2018,4,11,5.88,5.9,0.76,5.63,0.3,0.78,3.16,-0.32,1.42,3.21,3.66,80.25,0.02,101.98,6.53,8.01,5.14,2.87,83.9
2018,4,12,5.69,5.7,0.72,5.93,0.29,0.8,4.86,1.24,3.05,4.55,4.12,79.7,0.0,101.92,5.07,6.25,3.7,2.55,101.6
2018,4,13,5.85,5.88,0.74,6.07,0.31,0.83,6.19,1.95,4.07,5.62,4.34,76.94,0.0,101.98,5.03,6.2,3.99,2.21,104.9
2018,4,14,5.52,5.59,0.69,6.84,0.29,0.85,9.2,5.5,7.35,8.28,5.73,79.39,0.28,101.74,5.18,6.49,3.87,2.62,139.5
2018,4,15,4.81,5.3,0.59,7.58,0.26,0.8,11.71,8.98,10.35,10.59,7.08,83.82,0.62,101.43,3.02,3.77,1.82,1.95,236.0
2018,4,16,2.71,4.76,0.33,7.99,0.16,0.5,13.29,10.6,11.95,11.37,8.04,84.43,3.93,100.88,2.56,4.46,0.27,4.19,169.4
2018,4,17,1.2,5.02,0.15,7.79,0.09,0.29,6.79,6.01,6.4,6.27,5.9,95.17,9.78,101.0,4.66,7.05,0.86,6.19,313.8
2018,4,18,4.17,5.59,0.5,7.51,0.24,0.73,6.53,5.12,5.83,6.59,5.42,91.22,0.36,101.63,6.69,8.08,5.16,2.92,300.7
2018,4,19,3.96,5.94,0.47,7.11,0.24,0.75,6.41,4.8,5.61,6.49,5.27,89.88,0.12,101.85,6.83,9.32,4.45,4.87,322.8
2018,4,20,5.79,6.01,0.68,6.82,0.32,1.05,9.01,6.98,8.0,8.75,6.33,88.22,0.11,101.53,5.33,7.72,3.21,4.51,255.8
2018,4,21,5.42,6.07,0.63,7.0,0.31,1.06,8.07,5.83,6.95,7.89,5.79,86.6,0.18,100.16,7.89,10.55,5.09,5.46,287.4
2018,4,22,5.86,6.47,0.67,6.59,0.33,0.88,6.27,3.36,4.82,6.39,4.82,82.46,0.02,100.73,5.33,7.83,2.75,5.08,323.0
2018,4,23,5.81,6.38,0.66,6.73,0.33,0.92,7.41,4.24,5.83,7.63,5.15,81.65,0.72,100.83,3.47,4.62,2.57,2.05,150.3
2018,4,24,3.38,6.01,0.38,7.77,0.22,0.63,8.49,6.4,7.45,8.13,6.0,87.36,2.57,100.03,5.66,7.12,4.11,3.01,237.0
2018,4,25,2.45,6.25,0.27,7.81,0.18,0.57,7.14,5.26,6.2,6.9,5.57,88.36,5.39,99.55,5.31,7.94,0.84,7.1,244.0
2018,4,26,3.86,6.42,0.43,7.79,0.25,0.85,6.92,4.59,5.75,6.8,5.3,85.95,1.98,99.79,6.05,8.84,4.31,4.53,263.9
2018,4,27,3.12,6.27,0.34,7.56,0.21,0.66,6.1,4.29,5.19,5.88,5.15,88.76,1.23,100.61,5.31,6.04,3.59,2.45,244.8
2018,4,28,3.15,5.68,0.34,7.33,0.19,0.6,6.82,5.1,5.96,6.38,5.46,89.09,1.12,101.06,3.66,5.2,1.21,3.99,210.5
2018,4,29,3.76,5.84,0.41,7.7,0.22,0.77,9.9,8.15,9.02,9.14,6.82,89.14,0.18,100.83,3.91,5.34,2.67,2.67,189.7
2018,4,30,5.74,6.18,0.61,7.73,0.32,1.18,12.39,9.24,10.82,11.79,7.34,82.71,0.15,100.51,3.61,6.14,2.38,3.76,68.2
2018,5,1,6.26,6.47,0.67,7.83,0.36,1.39,13.77,10.1,11.93,12.73,7.77,80.23,1.2,100.23,4.81,6.73,1.53,5.2,233.3
2018,5,2,5.97,6.8,0.63,7.39,0.35,1.24,10.32,6.84,8.58,9.71,6.14,80.07,6.17,101.03,4.02,7.13,1.11,6.02,261.8
2018,5,3,5.01,6.45,0.52,8.01,0.31,1.13,11.26,9.04,10.15,10.02,7.28,86.76,1.59,101.1,4.29,6.31,1.16,5.15,120.1
2018,5,4,5.09,6.66,0.53,7.5,0.31,1.08,8.46,5.39,6.93,8.8,5.56,82.51,0.77,101.47,3.93,5.71,2.72,2.99,322.3
2018,5,5,6.5,7.13,0.67,6.88,0.38,1.25,8.16,5.21,6.69,8.7,5.42,82.63,0.02,101.99,3.5,4.96,2.38,2.58,341.9
2018,5,6,7.22,7.25,0.74,6.68,0.41,1.31,11.07,6.18,8.62,10.73,5.8,73.32,0.0,102.11,1.84,3.06,0.92,2.14,348.9
2018,5,7,7.26,7.27,0.74,7.04,0.41,1.51,13.24,8.11,10.67,12.33,6.72,72.04,0.0,101.87,1.96,3.14,0.2,2.94,295.2
2018,5,8,7.09,7.25,0.72,7.26,0.41,1.59,13.38,9.62,11.5,13.25,7.44,79.37,0.0,101.54,3.14,4.96,1.64,3.32,12.9
2018,5,9,7.32,7.35,0.73,7.1,0.42,1.44,13.73,8.96,11.34,13.4,7.07,75.12,0.01,101.38,5.39,6.27,4.56,1.71,81.7
2018,5,10,7.29,7.3,0.73,7.29,0.42,1.51,14.79,10.64,12.72,14.4,7.97,77.53,0.0,101.44,5.54,6.13,4.74,1.39,113.4
2018,5,11,7.55,7.61,0.75,6.98,0.43,1.49,14.75,9.81,12.28,14.3,7.45,74.26,0.0,101.77,4.63,5.57,3.14,2.43,133.7
2018,5,12,7.41,7.55,0.73,7.09,0.42,1.32,15.69,9.39,12.54,14.97,7.25,68.81,0.0,101.82,3.07,4.19,2.02,2.17,129.8
2018,5,13,7.03,7.37,0.69,7.64,0.4,1.39,17.28,12.09,14.69,16.31,8.84,72.9,0.02,101.61,3.58,5.21,2.57,2.64,76.2
2018,5,14,6.21,7.0,0.6,8.04,0.36,1.25,17.29,12.44,14.87,16.52,8.9,74.91,0.01,101.6,2.91,4.5,1.46,3.04,148.5
2018,5,15,5.12,6.72,0.49,8.33,0.31,1.15,16.45,12.45,14.45,15.95,8.95,78.29,0.58,101.19,2.86,5.32,1.12,4.2,152.0
2018,5,16,6.38,7.26,0.61,8.08,0.38,1.3,15.88,11.98,13.93,16.21,8.68,78.71,0.07,100.92,2.27,3.34,0.38,2.96,142.7
2018,5,17,4.22,6.84,0.4,8.52,0.28,1.04,16.55,12.63,14.59,16.22,9.13,78.65,1.07,100.48,3.08,3.98,2.07,1.91,75.5
